,Title,Images,Summary,Aurthor,Category,ID
140,The Story of the Tampa Bay Rays (Baseball: the Great American Game),http://ecx.images-amazon.com/images/I/31uwYvL88GL.jpg,"""The history of the Tampa Bay Rays professional baseball team from its inaugural 1998 season to today, spotlighting the team's greatest players and most memorable moments""--Provided by publisher.",Nate Leboutillier,Teen & Young Adult,1608180573
141,"TRIPS, TRAVELS, and DREAMS: How LSD Saved Me",http://ecx.images-amazon.com/images/I/51DHfSgiwNL.jpg," In 1966, a chance phone call from an old friend led Michael V. Palmer to San Francisco’s Haight-Ashbury neighborhood, a place populated by hippies, musicians, psychics, and yogis. To Palmer’s delight, many of his new friends dabbled in all of the above, and everyone wanted to spread the love. Much of that good feeling stemmed from a collective mental awakening inspired by a new controversial psychedelic concoction: LSD.   For Palmer and his contemporaries, LSD presented a unique opportunity to expand one’s mind. For the authorities, it heralded the collapse of social order.   In the memoir  Trips, Travels, and Dreams: How LSD Saved Me , Palmer’s unique personal story showcases the power of the psychedelically altered mind. Because of LSD use, he no longer lived within the confines of society’s expectations. Uniquely talented people, such as the psychic Vassily, encouraged him to follow his acid-induced dreams and visions down a life’s path that ultimately took him to more than sixty countries.    This fascinating story, complete with an insightful analysis of the human psyche, proves a glowing testament to the power of the 1960s counterculture movement.  ",Michael Vaughn Palmer,Biographies & Memoirs,1508530203
142,A Feast for All Seasons: Traditional Native Peoples' Cuisine (Paperback) - Common,http://ecx.images-amazon.com/images/I/51Av%2BWN17RL.jpg,A collection of traditional recipes that provide a fascinating glimpse into Native culture and customs.,By (author) Robert Gairns By (author) Andrew George,"Cookbooks, Food & Wine",B00FFBSU0Q
143,Walt Disney's Donald Duck: The Old Castle's Secret,http://ecx.images-amazon.com/images/I/518gwTDkyML.jpg," With this volume,  The Complete Carl Barks Disney Library  loops back to Barks's earlier days, collecting the entirety of Bark's (astounding) 1948 output. The title story,  The Old Castle's Secret , is notable not just for being the first full-length 32-page adventure instigated by Scrooge McDuck (in his second-ever appearance), but for featuring some of Bark's spookiest, lushest settings in old Clan McDuck castle of Dismal Downs. The other long story,  The Sheriff of Bullet Valley , plunks Donald and the nephews in the Wild West, with Donald as an overconfident deputy having to deal with some high-tech rustlers. The book also includes the less-known  In Darkest Africa , originally published in a giveaway and unreleased for decades. This volume also features an even 10 of Bark's dynamic  Walt Disney's Comics and Stories  10-pagers, including  Wintertime Wager  (the first appearance of a not-yet-lucky-but-still-obnoxious Gladstone Gander);  Spoil the Rod  (in which the exquisitely named educational professor Pulpheart Clabberhead is brought in to help tame the nephews);  Rocket Race to the Moon  (a rare full-on adventure interplanetary, no less in the short form);  Gladstone Returns  and  Links Highjinks  (two more Gladstone yarns); and five more stories... plus a half-dozen hilarious one-page gags. Of course, once again all the stories have been shot from crisp originals, then re-colored (and printed) to match, for the first time since their original release over 60 years ago, the colorful yet soft hues of the originals and of course the book is rounded off with essays about Barks, the Ducks, and these specific stories by Barks experts from all over the world.  ",Carl Barks,Comics & Graphic Novels,1606996533
144,Measurements for Decision Making,http://ecx.images-amazon.com/images/I/51gI7XLw70L.jpg,"In the technical-scientific field, many decisions are supported by measurements. However, it is essential to assign to measurement results their actual meaning to achieve a correct decision. This aspect is particularly important and formally required when operating in Quality Systems. Therefore, measures management must be rigorous and it can find a concrete support in the topics discussed in this volume, because of the attention to metrological part and the removal of unnecessary restrictions. Giulio Barbato, Alessandro Germak and Gianfranco Genta are professors of ""Experimental Statistics and Mechanical Measurements"" at Politecnico di Torino. Prof. Barbato and Germak worked for over twenty years at the Italian National Metrology Institute on Primary Force and Hardness Standards and in the field of Accreditation for the Italian Calibration Service.",Giulio Barbato,Science & Math,887488575X
145,Lonely Planet Poland (Travel Guide),http://ecx.images-amazon.com/images/I/51EwO6JkqWL.jpg,"  Lonely Planet: The world's leading travel guide publisher    Lonely Planet Poland  is your passport to all the most relevant and up-to-date advice on what to see, what to skip, and what hidden discoveries await you. Experience Krakow's scintillating nightlife, admire the elegance of Warsaw's 'Palace on the Water,' or explore the amber stalls along the crooked medieval lanes of Gdansk; all with your trusted travel companion. Get to the heart of Poland and begin your journey now!   Inside Lonely Planet Poland Travel Guide:      Colour  maps and images throughout   Highlights   and itineraries  show you the simplest way to tailor your trip to your own personal needs and interests   Insider tips  save you time and money and help you get around like a local, avoiding crowds and trouble spots   Essential info   at your fingertips  - including hours of operation, phone numbers, websites, transit tips, and prices   Honest reviews   for all budgets  - including eating, sleeping, sight-seeing, going out, shopping, and hidden gems that most guidebooks miss   Cultural insights  give you a richer and more rewarding travel experience - including culture, history, art, literature, poetry, cinema, music, politics, landscapes, and wildlife   Free, convenient pull-out   Krakow map  (included in print version), plus over 67 local maps   Useful features  - including  Month-by-Month  (annual festival calendar),  Outdoor Activities,  and  Eat Like a Local    Coverage  of Warsaw, Krakow, Malopolska, the Carpathian Mountains, Mazovia, Podlasie, Warmia, Masuria, Gdansk, Pomerania, Wielkopolska, Silesia, the Olsztyn region, and more     The Perfect Choice:   Lonely Planet Poland,  our most comprehensive guide to Poland, is perfect for those planning to both explore the top sights and take the road less travelled.    Looking for more extensive coverage? Check out  Lonely Planet's Eastern Europe  guide for a comprehensive look at all the region has to offer.     Authors:  Written and researched by Lonely Planet, Mark Baker, Marc Di Duca, and Tim Richards.   About Lonely Planet:  Started in 1973, Lonely Planet has become the world's leading travel guide publisher with guidebooks to every destination on the planet, as well as an award-winning website, a suite of mobile and digital travel products, and a dedicated traveller community. Lonely Planet's mission is to enable curious travellers to experience the world and to truly get to the heart of the places they find themselves in. ",Mark Baker,Travel,174179322X
146,Creative Word: Canon As a Model for Biblical Education,http://ecx.images-amazon.com/images/I/41ScNR%2BkQ8L.jpg,"The author analyzes the theology and function of the three divisions of the Hebrew Bible: Torah, Prophets, and Writings.",Walter Brueggemann,Christian Books & Bibles,080061626X
147,The 2011 Import and Export Market for Blankets and Traveling Rugs in Lithuania,http://ecx.images-amazon.com/images/I/41-i-eLWJFL.jpg,"On the demand side, exporters and strategic planners focusing on blankets and traveling rugs in Lithuania face a number of questions. Which countries are supplying blankets and traveling rugs to Lithuania? How important is Lithuania compared to others in terms of the entire global and regional market? How much do the imports of blankets and traveling rugs vary from one country of origin to another in Lithuania? On the supply side, Lithuania also exports blankets and traveling rugs. Which countries receive the most exports from Lithuania? How are these exports concentrated across buyers? What is the value of these exports and which countries are the largest buyers?    This report was created for strategic planners, international marketing executives and import/export managers who are concerned with the market for blankets and traveling rugs in Lithuania. With the globalization of this market, managers can no longer be contented with a local view. Nor can managers be contented with out-of-date statistics which appear several years after the fact. I have developed a methodology, based on macroeconomic and trade models, to estimate the market for blankets and traveling rugs for those countries serving Lithuania via exports, or supplying from Lithuania via imports. It does so for the current year based on a variety of key historical indicators and econometric models.    In what follows, Chapter 2 begins by summarizing where Lithuania fits into the world market for imported and exported blankets and traveling rugs. The total level of imports and exports on a worldwide basis, and those for Lithuania in particular, is estimated using a model which aggregates across over 150 key country markets and projects these to the current year. From there, each country represents a percent of the world market. This market is served from a number of competitive countries of origin. Based on both demand- and supply-side dynamics, market shares by",Icon Group International,Travel,B003WT0GT6
148,Some Thoughts About Relationships,http://ecx.images-amazon.com/images/I/41RTgbM-tYL.jpg,"Relationships have the potential to drastically improve our lives, or to sucker punch us in the emotional gut. Impactful as these interpersonal ties can be, it's worth the effort to become more familiar with them, question a lot of our default notions that surround them, and calibrate them to best suit our needs and those of the people we care about. ",Colin Wright,Self-Help,1938793889
149,Sorcerer: The Hedge Wizard's Handbook (World of Darkness),http://ecx.images-amazon.com/images/I/510TCK9K7NL.jpg,RPG Book,Phil Brucato,Science Fiction & Fantasy,1565044517
150,The Space Between Us: Bruno Gmuender Portfolio,http://ecx.images-amazon.com/images/I/514A-bQk6lL.jpg,"Eight years after his critically-acclaimed NIGHTHAWKS, Ohm Phanphiroj returns with THE SPACE BETWEEN US, a limited edition (1000 copies) photo-memoir from new publishing label Portfolio 1000. A photo-journalistic journey of his life and the men he's encountered - some intimate, some casual, some shameful - SPACE explores that strange side effect of human interaction: The more we try to get close to someone, the more distance we feel between us.",Ohm Phanphiroj,Arts & Photography,3959850077
151,Lost Voices of Egypt: From Atakpa to Memphis,http://ecx.images-amazon.com/images/I/41XtMdcWzML.jpg," By offering some insights into a key area of West Africa, this book attempts to take the wonders of Ancient Egypt out of the realm of myths and folklore. The credit for the longevity of Ancient Egyptian traditions belongs to their erstwhile scribes,who managed to keep extensive records of Egypt’s history and achievements over an exceptionally long period. The Anang, Efik, and Ibibio people also deserve recognition for maintaining a spoken language that has notchanged very much from that spoken by the Ancient Egyptians at the various stages of their development, and for perpetuating a very unique culture that allows for the uncomplicated linkage of these two worlds. Bystudying this ancient language and culture, we can pose some formidable questions about our present—questions that shape our understanding ofthe genesis of the three main Middle Eastern religious movements, and that help explain the evolution of modern science.The fact that other venerated civilizations, including the Semites, Persians, and Greeks, represented “Egyptian” words inaccurately does not warrant perpetuating such corruption, as this would rob those words of their true essence. Much as the corrupted “English” words Ikobi, inokobi would not sound familiar to an English-speaker as the words “To be, or not to be,” neither do “words” like miri, kem, or osiris represent the Ancient Egyptian muara, ekim, and ase, respectively.......   Page 56, “re men kimi” - In Efik, these corrupted words should read as uyo mön ekim, meaning “black voices” (voices of those who are black). Up until the earlier period of the present-day Copts, Egyptians referred to themselves as such: mön ekim. In a similar vein, the present-day speakers of this language—including the Efik, Ibibio, Anang, Örön, Etinan, Uyo, Nsit, Ibunö, Itu, Iköt Abasi, Öföt, Ediene, Eket, Abak, Iköt Aran, Iköt Ubö, Oku, Itam, Muaña (iba)—are described in similar fashion, i.e., “mön so-and-so.” In this case, mön is used in a generic manner as opposed to nuñ, which has particular relevance to family or ancestors. ",Mfon Eddie,Travel,1434352463
152,NEWPORT (R.I.) - The Delaplaine 2016 Long Weekend Guide (Long Weekend Guides),http://ecx.images-amazon.com/images/I/51NCUcCDN0L.jpg,"A complete guide for everything you need to experience a great Long Weekend in Newport, the one city in all of America that most evokes images of the robber barons of the Gilded Age. “I found myself even more impressed by the mansions of the Vanderbilts and other rich folks than I thought I’d be. Definitely glad I made this special trip to Newport.” --- Winona S., Memphis “Hanging out on the wharf downtown eating seafood and watching all the boats come and go were our favorite things to do.” --- Carol M., Louisville You'll save a lot of time using this concise guide. =Lodgings variously priced =Fine & budget restaurants, more than enough listings to give you a sense of the variety to be found. =Principal attractions -- don't waste your precious time on the lesser ones. We've done all the work for you. =A handful of interesting shopping ideas.",Andrew Delaplaine,Travel,1514742888
153,"Nets - How to Make, Mend and Preserve Them",http://ecx.images-amazon.com/images/I/51uQ3PhOtEL.jpg,"This book remains one of the best and most detailed books on net making ever published. It deals with the manual methods of net making and mending and is intended for the professional and amateur alike, of all ages. The learner is led step by step to the more complicated parts of the subject using the many detailed diagrams which illustrate the text. One hundred and twenty eight pages contain eight Comprehensive Chapters: The First Steps. Setting Up. How To Shape a Net. Sleeve Nets, Bag Nets and Square Netting. How to Mount a Net. How To Mend a Net. Essential Knots and Hitches. Making Carrying Nets, Shopping Bags, Hammocks, Goal Nets, Purse Nets, Tennis Nets, Fishing Nets, etc, etc. Preservation of Nets. This is a fascinating and practical book on a subject which is becoming ever more popular with hobbyists of all ages.",G. A. Steven,"Crafts, Hobbies & Home",184664092X
154,Teach Me A Lesson (Hentai Manga),http://ecx.images-amazon.com/images/I/51S3V0-xu%2BL.jpg,"After having problems finding a job, Shinji starts attending his step-mother’s continuing education school to get some sort of certification. However, the school is full of perverted female teachers looking to bear his child, who would be in line to take over the school... The battle for his seed is now in session!!!",Hiroshi Itaba,Comics & Graphic Novels,1624591345
